"Folge","Titel","Sender","Erstausstrahlung","Ermittler","Fall","Autor","Regie","Besonderheiten"
487,"Bestien","WDR","25.11.2001","Ballauf und Schenk",18,"Norbert Ehry","Kaspar Heidelbach",""
488,"Gewaltfieber","SWR","02.12.2001","Odenthal und Kopper",24,"Fred Breinersdorfer","Martin Eigler","Günter-Strack-Fernsehpreis 2002 an Matthias Schweighöfer"
489,"Und dahinter liegt New York","BR","23.12.2001","Batic und Leitmayr",30,"Friedrich Ani","Friedemann Fromm",""
490,"Schrott und Totschlag","SWR","06.1.2002","Odenthal und Kopper",25,"Dorothee Schön","Jürgen Bretzinger",""
491,"Todesfahrt","MDR","20.1.2002","Ehrlicher und Kain",28,"Christian Limmer","Udo Witte",""
492,"Wolf im Schafspelz","BR","24.2.2002","Batic und Leitmayr",31,"Stefanie Kremser","Filippos Tsitos",""
493,"Schützlinge","WDR","03.3.2002","Ballauf und Schenk",19,"Sönke Lars Neuwöhner, Sven Poser","Martin Eigler",""
494,"Bienzle und der Tag der Rache","SWR","10.3.2002","Bienzle",15,"Felix Huby","Konrad Sabrautzky",""
495,"Zahltag","SFB","24.3.2002","Ritter und Stark",10,"Pim Richter","Peter F. Bringmann",""
496,"Lastrumer Mischung","NDR","07.4.2002","Lindholm",1,"Volkmar Nebe, T.U. Hemjeoltmanns","Thomas Jauch",""
497,"Tödliche Tagung","ORF","14.4.2002","Eisner",7,"Lukas Alexander","Robert Adrian Pejo",""
498,"Oskar","HR","21.4.2002","Dellwo und Sänger",1,"Niki Stein","Niki Stein",""
499,"Schlaraffenland","SWR","28.4.2002","Blum",1,"Stefan Dähnert","Nina Grosse",""
500,"Endspiel","Radio Bremen","20.5.2002","Lürsen und Stedefreund",7,"Britta Stöckle","Ciro Capellari",""
501,"Der Passagier","NDR","02.6.2002","Casstorff und Holicek",3,"Thomas Bohn","Thomas Bohn",""
502,"Schlaf, Kindlein, schlaf","WDR","16.6.2002","Ballauf und Schenk",20,"Jan Hinter, Stefan Cantz","Peter Fratzscher",""
